method,scenario,trial,run_id,execution_mode,environment,timestamp_s,x_robot,y_robot,yaw_robot,x_reference,y_reference,yaw_reference,reference_index,cross_track_error,heading_error,linear_velocity_command,angular_velocity_command,distance_to_goal,saturated_v,saturated_omega
pure_pursuit_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788401920.258950,0.489356,0.004032,0.014937,0.999000,0.020000,0.000000,20,0.008354,0.014937,0.444431,0.010391,0.509894,0,0
pure_pursuit_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788401920.309434,0.504437,0.004257,0.015291,0.999000,0.020000,0.000000,20,0.008179,0.015291,0.444546,0.010334,0.494813,0,0
pure_pursuit_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788401920.359143,0.533727,0.004710,0.015975,0.999000,0.020000,0.000000,20,0.007856,0.015975,0.444759,0.010276,0.465524,0,0
pure_pursuit_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788401920.409357,0.548822,0.004951,0.016326,0.999000,0.020000,0.000000,20,0.007698,0.016326,0.444863,0.010236,0.450430,0,0
pure_pursuit_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788401920.458776,0.578137,0.005435,0.017001,0.999000,0.020000,0.000000,20,0.007408,0.017001,0.445054,0.010202,0.421115,0,0
pure_pursuit_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788401920.508879,0.593244,0.005692,0.017349,0.999000,0.020000,0.000000,20,0.007267,0.017349,0.445148,0.010182,0.406008,0,0
pure_pursuit_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788401920.559012,0.620050,0.006086,0.017843,0.999000,0.020000,0.000000,20,0.007151,0.017843,0.445225,0.010259,0.379206,0,0
pure_pursuit_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788401920.609422,0.637701,0.006478,0.018373,0.999000,0.020000,0.000000,20,0.006882,0.018373,0.445402,0.010216,0.361552,0,0
pure_pursuit_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788401920.658969,0.652379,0.006748,0.018708,0.999000,0.020000,0.000000,20,0.006766,0.018708,0.445479,0.010204,0.346875,0,0
pure_pursuit_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788401920.708918,0.681395,0.006499,0.019921,0.999000,0.020000,0.000000,20,0.007172,0.019921,0.445211,0.010703,0.317892,0,0
