method,scenario,trial,execution_mode,environment,success,reason,planning_time_ms,expanded_nodes,path_length_m,waypoints,min_clearance_m,clearance_metric,sharp_direction_changes,start_x,start_y,start_yaw,goal_x,goal_y,goal_yaw,terminal_yaw_error_rad,parameters
dijkstra_pp_2602_hotel,orientation_change,3,offline_grid_benchmark,offline,1,,174.573355,11966,5.794113,97,0.400000,8_connected_chamfer_approx_m,1,9.823000,-5.251000,0.000000,14.623000,-7.651000,1.570796,2.356194,"{""inflate_radius"": 0.25, ""prevent_corner_cutting"": true, ""resolution_m"": 0.05, ""unknown_as_obstacle"": true, ""use_8_connected"": true}"
hybrid_astar_pp_2602_hotel,orientation_change,3,offline_grid_benchmark,offline,1,,248.218533,9584,5.399148,32,0.400000,8_connected_chamfer_approx_m,1,9.823000,-5.251000,0.000000,14.623000,-7.651000,1.570796,0.000000,"{""allow_in_place_rotation"": true, ""allow_reverse"": false, ""heuristic_weight"": 1.0, ""inflate_radius"": 0.25, ""max_curvature"": 1.6, ""motion_step"": 0.2, ""prevent_corner_cutting"": true, ""resolution_m"": 0.05, ""theta_resolution_rad"": 0.5235987755982988, ""unknown_as_obstacle"": true, ""use_8_connected"": true, ""xy_resolution"": 0.05}"
dijkstra_pp_2602_hotel,manual,0,ros_live,gazebo,1,,806.617275,49296,8.387616,141,1.650000,8_connected_chamfer_approx_m,2,-0.018138,-0.087509,0.003137,6.981435,3.259462,1.061398,1.061398,"{""base_frame"": ""base_link"", ""environment"": ""gazebo"", ""global_frame"": ""map"", ""inflate_radius"": 0.25, ""occupied_threshold"": 65, ""prevent_corner_cutting"": true, ""start_type_description_service"": true, ""traversal_cost_weight"": 0.0, ""treat_unknown_as_obstacle"": true, ""use_8_connected"": true, ""use_sim_time"": false}"
dijkstra_pp_2602_hotel,manual,0,ros_live,gazebo,1,,929.498902,57144,11.447666,208,0.282843,8_connected_chamfer_approx_m,7,6.932593,3.434529,0.170500,-3.369409,6.121200,2.620633,0.264438,"{""base_frame"": ""base_link"", ""environment"": ""gazebo"", ""global_frame"": ""map"", ""inflate_radius"": 0.25, ""occupied_threshold"": 65, ""prevent_corner_cutting"": true, ""start_type_description_service"": true, ""traversal_cost_weight"": 0.0, ""treat_unknown_as_obstacle"": true, ""use_8_connected"": true, ""use_sim_time"": false}"
hybrid_astar_pp_2602_hotel,manual,0,ros_live,gazebo,1,,453.626545,14413,7.798296,44,0.320711,8_connected_chamfer_approx_m,0,-3.301387,6.114010,-3.063375,-7.154052,-0.133793,-2.103214,0.000000,"{""allow_in_place_rotation"": true, ""allow_reverse"": false, ""base_frame"": ""base_link"", ""direction_change_penalty"": 0.25, ""environment"": ""gazebo"", ""global_frame"": ""map"", ""goal_position_tolerance"": 0.15, ""goal_yaw_tolerance"": 0.3490658503988659, ""heuristic_weight"": 1.0, ""inflate_radius"": 0.25, ""max_curvature"": 1.6, ""max_iterations"": 100000, ""motion_step"": 0.2, ""occupied_threshold"": 65, ""reverse_penalty"": 1.4, ""rotation_penalty"": 0.12, ""start_type_description_service"": true, ""theta_resolution"": 0.2617993877991494, ""traversal_cost_weight"": 0.0, ""treat_unknown_as_obstacle"": true, ""turn_penalty"": 0.1, ""use_sim_time"": false, ""xy_resolution"": 0.05}"
hybrid_astar_pp_2602_hotel,manual,0,ros_live,gazebo,0,max_iterations,3423.262376,100000,0.000000,0,,8_connected_chamfer_approx_m,0,-7.177181,0.167350,-2.149118,-2.023533,-1.897774,1.017563,,"{""allow_in_place_rotation"": true, ""allow_reverse"": false, ""base_frame"": ""base_link"", ""direction_change_penalty"": 0.25, ""environment"": ""gazebo"", ""global_frame"": ""map"", ""goal_position_tolerance"": 0.15, ""goal_yaw_tolerance"": 0.3490658503988659, ""heuristic_weight"": 1.0, ""inflate_radius"": 0.25, ""max_curvature"": 1.6, ""max_iterations"": 100000, ""motion_step"": 0.2, ""occupied_threshold"": 65, ""reverse_penalty"": 1.4, ""rotation_penalty"": 0.12, ""start_type_description_service"": true, ""theta_resolution"": 0.2617993877991494, ""traversal_cost_weight"": 0.0, ""treat_unknown_as_obstacle"": true, ""turn_penalty"": 0.1, ""use_sim_time"": false, ""xy_resolution"": 0.05}"
hybrid_astar_pp_2602_hotel,manual,0,ros_live,gazebo,1,,360.043221,11386,8.400000,49,0.300000,8_connected_chamfer_approx_m,0,-7.177181,0.167350,-2.149137,-5.304875,-7.898687,-0.246009,0.000000,"{""allow_in_place_rotation"": true, ""allow_reverse"": false, ""base_frame"": ""base_link"", ""direction_change_penalty"": 0.25, ""environment"": ""gazebo"", ""global_frame"": ""map"", ""goal_position_tolerance"": 0.15, ""goal_yaw_tolerance"": 0.3490658503988659, ""heuristic_weight"": 1.0, ""inflate_radius"": 0.25, ""max_curvature"": 1.6, ""max_iterations"": 100000, ""motion_step"": 0.2, ""occupied_threshold"": 65, ""reverse_penalty"": 1.4, ""rotation_penalty"": 0.12, ""start_type_description_service"": true, ""theta_resolution"": 0.2617993877991494, ""traversal_cost_weight"": 0.0, ""treat_unknown_as_obstacle"": true, ""turn_penalty"": 0.1, ""use_sim_time"": false, ""xy_resolution"": 0.05}"
hybrid_astar_pp_2602_hotel,manual,0,ros_live,gazebo,1,,550.753221,16492,9.398296,56,1.239950,8_connected_chamfer_approx_m,0,-5.304579,-7.779769,-0.686658,-0.122308,-0.012755,0.107488,0.000000,"{""allow_in_place_rotation"": true, ""allow_reverse"": false, ""base_frame"": ""base_link"", ""direction_change_penalty"": 0.25, ""environment"": ""gazebo"", ""global_frame"": ""map"", ""goal_position_tolerance"": 0.15, ""goal_yaw_tolerance"": 0.3490658503988659, ""heuristic_weight"": 1.0, ""inflate_radius"": 0.25, ""max_curvature"": 1.6, ""max_iterations"": 100000, ""motion_step"": 0.2, ""occupied_threshold"": 65, ""reverse_penalty"": 1.4, ""rotation_penalty"": 0.12, ""start_type_description_service"": true, ""theta_resolution"": 0.2617993877991494, ""traversal_cost_weight"": 0.0, ""treat_unknown_as_obstacle"": true, ""turn_penalty"": 0.1, ""use_sim_time"": false, ""xy_resolution"": 0.05}"
hybrid_astar_pp_2602_hotel,manual,0,ros_live,gazebo,1,,384.788095,11096,8.999148,51,1.847056,8_connected_chamfer_approx_m,0,-0.152798,-0.228892,0.539095,7.669473,4.304464,1.834556,0.000000,"{""allow_in_place_rotation"": true, ""allow_reverse"": false, ""base_frame"": ""base_link"", ""direction_change_penalty"": 0.25, ""environment"": ""gazebo"", ""global_frame"": ""map"", ""goal_position_tolerance"": 0.15, ""goal_yaw_tolerance"": 0.3490658503988659, ""heuristic_weight"": 1.0, ""inflate_radius"": 0.25, ""max_curvature"": 1.6, ""max_iterations"": 100000, ""motion_step"": 0.2, ""occupied_threshold"": 65, ""reverse_penalty"": 1.4, ""rotation_penalty"": 0.12, ""start_type_description_service"": true, ""theta_resolution"": 0.2617993877991494, ""traversal_cost_weight"": 0.0, ""treat_unknown_as_obstacle"": true, ""turn_penalty"": 0.1, ""use_sim_time"": false, ""xy_resolution"": 0.05}"
hybrid_astar_pp_2602_hotel,manual,0,ros_live,gazebo,1,,342.179150,10756,10.800000,65,0.300000,8_connected_chamfer_approx_m,0,7.444399,4.240693,0.715172,-3.041638,5.979108,2.667655,0.000000,"{""allow_in_place_rotation"": true, ""allow_reverse"": false, ""base_frame"": ""base_link"", ""direction_change_penalty"": 0.25, ""environment"": ""gazebo"", ""global_frame"": ""map"", ""goal_position_tolerance"": 0.15, ""goal_yaw_tolerance"": 0.3490658503988659, ""heuristic_weight"": 1.0, ""inflate_radius"": 0.25, ""max_curvature"": 1.6, ""max_iterations"": 100000, ""motion_step"": 0.2, ""occupied_threshold"": 65, ""reverse_penalty"": 1.4, ""rotation_penalty"": 0.12, ""start_type_description_service"": true, ""theta_resolution"": 0.2617993877991494, ""traversal_cost_weight"": 0.0, ""treat_unknown_as_obstacle"": true, ""turn_penalty"": 0.1, ""use_sim_time"": false, ""xy_resolution"": 0.05}"
hybrid_astar_pp_2602_hotel,manual,0,ros_live,gazebo,1,,916.704027,28871,12.999148,73,0.291421,8_connected_chamfer_approx_m,0,-2.861911,5.966485,2.795467,-8.138040,-4.801958,-1.028110,0.000000,"{""allow_in_place_rotation"": true, ""allow_reverse"": false, ""base_frame"": ""base_link"", ""direction_change_penalty"": 0.25, ""environment"": ""gazebo"", ""global_frame"": ""map"", ""goal_position_tolerance"": 0.15, ""goal_yaw_tolerance"": 0.3490658503988659, ""heuristic_weight"": 1.0, ""inflate_radius"": 0.25, ""max_curvature"": 1.6, ""max_iterations"": 100000, ""motion_step"": 0.2, ""occupied_threshold"": 65, ""reverse_penalty"": 1.4, ""rotation_penalty"": 0.12, ""start_type_description_service"": true, ""theta_resolution"": 0.2617993877991494, ""traversal_cost_weight"": 0.0, ""treat_unknown_as_obstacle"": true, ""turn_penalty"": 0.1, ""use_sim_time"": false, ""xy_resolution"": 0.05}"
hybrid_astar_pp_2602_hotel,manual,0,ros_live,gazebo,0,max_iterations,3562.422707,100000,0.000000,0,,8_connected_chamfer_approx_m,0,-8.001675,-4.639627,-1.389747,4.373018,-4.383837,2.943217,,"{""allow_in_place_rotation"": true, ""allow_reverse"": false, ""base_frame"": ""base_link"", ""direction_change_penalty"": 0.25, ""environment"": ""gazebo"", ""global_frame"": ""map"", ""goal_position_tolerance"": 0.15, ""goal_yaw_tolerance"": 0.3490658503988659, ""heuristic_weight"": 1.0, ""inflate_radius"": 0.25, ""max_curvature"": 1.6, ""max_iterations"": 100000, ""motion_step"": 0.2, ""occupied_threshold"": 65, ""reverse_penalty"": 1.4, ""rotation_penalty"": 0.12, ""start_type_description_service"": true, ""theta_resolution"": 0.2617993877991494, ""traversal_cost_weight"": 0.0, ""treat_unknown_as_obstacle"": true, ""turn_penalty"": 0.1, ""use_sim_time"": false, ""xy_resolution"": 0.05}"
hybrid_astar_pp_2602_hotel,manual,0,ros_live,gazebo,0,max_iterations,3554.910266,100000,0.000000,0,,8_connected_chamfer_approx_m,0,-8.001675,-4.639627,-1.389790,2.074482,-6.267300,2.186664,,"{""allow_in_place_rotation"": true, ""allow_reverse"": false, ""base_frame"": ""base_link"", ""direction_change_penalty"": 0.25, ""environment"": ""gazebo"", ""global_frame"": ""map"", ""goal_position_tolerance"": 0.15, ""goal_yaw_tolerance"": 0.3490658503988659, ""heuristic_weight"": 1.0, ""inflate_radius"": 0.25, ""max_curvature"": 1.6, ""max_iterations"": 100000, ""motion_step"": 0.2, ""occupied_threshold"": 65, ""reverse_penalty"": 1.4, ""rotation_penalty"": 0.12, ""start_type_description_service"": true, ""theta_resolution"": 0.2617993877991494, ""traversal_cost_weight"": 0.0, ""treat_unknown_as_obstacle"": true, ""turn_penalty"": 0.1, ""use_sim_time"": false, ""xy_resolution"": 0.05}"
hybrid_astar_pp_2602_hotel,manual,0,ros_live,gazebo,1,,2937.661723,86327,8.999148,54,0.262132,8_connected_chamfer_approx_m,0,-8.001675,-4.639627,-1.389714,-0.971060,-1.216439,0.681929,0.000000,"{""allow_in_place_rotation"": true, ""allow_reverse"": false, ""base_frame"": ""base_link"", ""direction_change_penalty"": 0.25, ""environment"": ""gazebo"", ""global_frame"": ""map"", ""goal_position_tolerance"": 0.15, ""goal_yaw_tolerance"": 0.3490658503988659, ""heuristic_weight"": 1.0, ""inflate_radius"": 0.25, ""max_curvature"": 1.6, ""max_iterations"": 100000, ""motion_step"": 0.2, ""occupied_threshold"": 65, ""reverse_penalty"": 1.4, ""rotation_penalty"": 0.12, ""start_type_description_service"": true, ""theta_resolution"": 0.2617993877991494, ""traversal_cost_weight"": 0.0, ""treat_unknown_as_obstacle"": true, ""turn_penalty"": 0.1, ""use_sim_time"": false, ""xy_resolution"": 0.05}"
hybrid_astar_pp_2602_hotel,manual,0,ros_live,gazebo,1,,297.834819,8946,8.600000,47,1.472792,8_connected_chamfer_approx_m,0,-0.935168,-1.397829,0.679892,6.366271,2.992485,1.153283,0.000000,"{""allow_in_place_rotation"": true, ""allow_reverse"": false, ""base_frame"": ""base_link"", ""direction_change_penalty"": 0.25, ""environment"": ""gazebo"", ""global_frame"": ""map"", ""goal_position_tolerance"": 0.15, ""goal_yaw_tolerance"": 0.3490658503988659, ""heuristic_weight"": 1.0, ""inflate_radius"": 0.25, ""max_curvature"": 1.6, ""max_iterations"": 100000, ""motion_step"": 0.2, ""occupied_threshold"": 65, ""reverse_penalty"": 1.4, ""rotation_penalty"": 0.12, ""start_type_description_service"": true, ""theta_resolution"": 0.2617993877991494, ""traversal_cost_weight"": 0.0, ""treat_unknown_as_obstacle"": true, ""turn_penalty"": 0.1, ""use_sim_time"": false, ""xy_resolution"": 0.05}"
hybrid_astar_pp_2602_hotel,manual,0,ros_live,gazebo,1,,57.757421,1815,3.800000,27,1.600000,8_connected_chamfer_approx_m,0,6.375671,2.924033,0.420961,6.553867,6.694595,2.460551,0.000000,"{""allow_in_place_rotation"": true, ""allow_reverse"": false, ""base_frame"": ""base_link"", ""direction_change_penalty"": 0.25, ""environment"": ""gazebo"", ""global_frame"": ""map"", ""goal_position_tolerance"": 0.15, ""goal_yaw_tolerance"": 0.3490658503988659, ""heuristic_weight"": 1.0, ""inflate_radius"": 0.25, ""max_curvature"": 1.6, ""max_iterations"": 100000, ""motion_step"": 0.2, ""occupied_threshold"": 65, ""reverse_penalty"": 1.4, ""rotation_penalty"": 0.12, ""start_type_description_service"": true, ""theta_resolution"": 0.2617993877991494, ""traversal_cost_weight"": 0.0, ""treat_unknown_as_obstacle"": true, ""turn_penalty"": 0.1, ""use_sim_time"": false, ""xy_resolution"": 0.05}"
dijkstra_pp_2602_hotel,manual,0,ros_live,gazebo,1,,520.458561,31275,7.381371,142,0.862132,8_connected_chamfer_approx_m,3,6.735215,6.909575,1.991994,-0.301304,6.105650,3.096790,0.830201,"{""base_frame"": ""base_link"", ""environment"": ""gazebo"", ""global_frame"": ""map"", ""inflate_radius"": 0.25, ""occupied_threshold"": 65, ""prevent_corner_cutting"": true, ""start_type_description_service"": true, ""traversal_cost_weight"": 0.0, ""treat_unknown_as_obstacle"": true, ""use_8_connected"": true, ""use_sim_time"": false}"
