method,scenario,trial,run_id,execution_mode,environment,success,reason,samples,cte_rmse_m,cte_mae_m,cte_max_m,heading_rmse_rad,completion_time_s,final_goal_error_m,progress_percent,omega_saturations,mean_abs_delta_omega_rad_s,mean_control_compute_us,collision_metric
pure_pursuit_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1,goal_tolerance_reached,39,0.012474,0.011756,0.019694,0.012615,1.974357,0.260178,100.000,0,0.000326,0.000000,not_measured
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1,goal_tolerance_reached,36,0.015519,0.014847,0.020000,0.015160,1.754421,0.236504,100.000,0,0.002078,0.000000,not_measured
